timestamp,cookie_id,product_id,gender,dept,price,age
1765436070,3776077338,7,m,93,109,47
1765458828,6608214215,7,m,45,109,30
1765478503,9432221904,8,m,91,165,36
1765505816,2650149306,4,f,92,299,54
1765546963,9177281149,2,m,8,67,25
1765570929,7297737488,3,m,92,29,21
1765599140,9354729192,5,m,62,89,32
1765643494,8700564173,7,m,2B,109,21
1765656158,2941040139,2,m,67,67,25
1765670444,160561211,6,m,84,34,25
1765697599,2740884452,8,f,89,165,37
1765705669,2614854739,5,f,27,89,25
1765718724,8762117854,8,m,63,165,31
1765723973,879158940,5,f,82,89,22
1765724293,7331215946,8,m,25,165,21
1765725557,714565764,5,f,62,89,21
1765735542,9466843371,6,f,1,34,28
1765753532,9353335552,8,f,5,165,20
1765767833,5630066803,7,f,82,109,36
1765810398,6055410297,7,f,87,109,38
1765821616,7658809930,1,m,13,354,62
1765821721,9519403978,1,m,79,354,59
1765825641,4697242675,3,f,51,29,25
1765846517,8798267242,2,f,33,67,29
1765846961,2693255933,7,f,60,109,23
1765849393,5659984092,1,f,8,354,63
1765877244,752233164,3,f,87,29,22
1765898746,4493292524,2,f,79,67,28
1765907608,3226566194,4,m,70,299,65
1765912864,9224037828,5,m,38,89,30
1765926806,9460758893,5,m,2A,89,44
1765947011,3377034654,2,m,18,67,31
1765985917,2871982090,3,m,55,29,25
1765996062,4953748303,8,m,275,165,63
1765997354,7534878963,5,f,49,89,26
1766070716,5166507128,4,f,59,299,54
1766138349,1653422210,3,f,43,29,25
1766185141,1952838737,2,f,60,67,30
1766245026,2885904311,3,f,34,29,22
1766272353,159174598,8,f,58,165,38
1766293096,5498834045,3,f,85,29,28
1766293477,4651306224,4,f,273,299,57
1766293481,7847011932,6,f,51,34,21
1766360714,368906485,2,m,43,67,26
1766398316,1136455488,4,f,33,299,60
1766432657,2883206700,5,f,86,89,36
1766442526,2877464022,1,f,94,354,63
1766444661,6833332736,5,f,2B,89,37
1766453211,4095749553,5,f,95,89,45
1766489249,15764679,2,m,81,67,30
1766515963,67211265,3,m,9,29,27
1766531026,6200686769,3,f,53,29,21
1766638894,7847011933,3,f,19,29,19
1766662814,7896338445,8,m,81,165,47
1766690086,2066294216,5,f,80,89,45
